value,word,party
607,Respekt,CDU
18,Respekt,SPD
1328,Respekt,Linke
-1,Respekt,Grüne
553,Respekt,FDP
594,Respekt,AfD
4,Kind,CDU
5,Kind,SPD
8,Kind,Linke
3,Kind,Grüne
22,Kind,FDP
3,Kind,AfD
19,Jahr,CDU
12,Jahr,SPD
4,Jahr,Linke
5,Jahr,Grüne
15,Jahr,FDP
7,Jahr,AfD
11,Wirtschaft,CDU
23,Wirtschaft,SPD
27,Wirtschaft,Linke
26,Wirtschaft,Grüne
29,Wirtschaft,FDP
43,Wirtschaft,AfD
35,Freiheit,CDU
78,Freiheit,SPD
531,Freiheit,Linke
156,Freiheit,Grüne
15,Freiheit,FDP
14,Freiheit,AfD
256,Identität,CDU
338,Identität,SPD
413,Identität,Linke
290,Identität,Grüne
221,Identität,FDP
16,Identität,AfD
24,Chance,CDU
33,Chance,SPD
291,Chance,Linke
53,Chance,Grüne
7,Chance,FDP
594,Chance,AfD
22,Innovation,CDU
78,Innovation,SPD
989,Innovation,Linke
105,Innovation,Grüne
17,Innovation,FDP
1036,Innovation,AfD
22,Möglichkeit,CDU
23,Möglichkeit,SPD
70,Möglichkeit,Linke
20,Möglichkeit,Grüne
18,Möglichkeit,FDP
80,Möglichkeit,AfD
141,Zugang,CDU
23,Zugang,SPD
21,Zugang,Linke
16,Zugang,Grüne
40,Zugang,FDP
274,Zugang,AfD
56,Euro,CDU
94,Euro,SPD
6,Euro,Linke
60,Euro,Grüne
54,Euro,FDP
13,Euro,AfD
141,Sprache,CDU
800,Sprache,SPD
456,Sprache,Linke
573,Sprache,Grüne
553,Sprache,FDP
16,Sprache,AfD
4,Staat,CDU
39,Staat,SPD
30,Staat,Linke
7,Staat,Grüne
6,Staat,FDP
4,Staat,AfD
-1,Volk,CDU
800,Volk,SPD
1328,Volk,Linke
1264,Volk,Grüne
1424,Volk,FDP
16,Volk,AfD
78,Wettbewerb,CDU
104,Wettbewerb,SPD
2172,Wettbewerb,Linke
105,Wettbewerb,Grüne
14,Wettbewerb,FDP
206,Wettbewerb,AfD
9,Entwicklung,CDU
14,Entwicklung,SPD
53,Entwicklung,Linke
37,Entwicklung,Grüne
12,Entwicklung,FDP
43,Entwicklung,AfD
1417,Abschaffung,CDU
463,Abschaffung,SPD
413,Abschaffung,Linke
890,Abschaffung,Grüne
272,Abschaffung,FDP
14,Abschaffung,AfD
56,Beispiel,CDU
67,Beispiel,SPD
36,Beispiel,Linke
15,Beispiel,Grüne
25,Beispiel,FDP
387,Beispiel,AfD
1,Land,CDU
7,Land,SPD
7,Land,Linke
1,Land,Grüne
3,Land,FDP
6,Land,AfD
6,Sicherheit,CDU
53,Sicherheit,SPD
30,Sicherheit,Linke
18,Sicherheit,Grüne
45,Sicherheit,FDP
26,Sicherheit,AfD
28,Demokratie,CDU
23,Demokratie,SPD
18,Demokratie,Linke
53,Demokratie,Grüne
27,Demokratie,FDP
157,Demokratie,AfD
56,Arbeit,CDU
5,Arbeit,SPD
5,Arbeit,Linke
17,Arbeit,Grüne
30,Arbeit,FDP
128,Arbeit,AfD
78,Recht,CDU
16,Recht,SPD
3,Recht,Linke
7,Recht,Grüne
23,Recht,FDP
12,Recht,AfD
56,Beschäftigte,CDU
18,Beschäftigte,SPD
1,Beschäftigte,Linke
89,Beschäftigte,Grüne
152,Beschäftigte,FDP
594,Beschäftigte,AfD
110,Politik,CDU
67,Politik,SPD
34,Politik,Linke
19,Politik,Grüne
50,Politik,FDP
62,Politik,AfD
85,Ausbau,CDU
67,Ausbau,SPD
145,Ausbau,Linke
66,Ausbau,Grüne
30,Ausbau,FDP
16,Ausbau,AfD
192,Eltern,CDU
145,Eltern,SPD
137,Eltern,Linke
156,Eltern,Grüne
113,Eltern,FDP
16,Eltern,AfD
65,Maßnahme,CDU
78,Maßnahme,SPD
180,Maßnahme,Linke
66,Maßnahme,Grüne
48,Maßnahme,FDP
10,Maßnahme,AfD
20,Zukunft,CDU
9,Zukunft,SPD
27,Zukunft,Linke
29,Zukunft,Grüne
18,Zukunft,FDP
128,Zukunft,AfD
7,Unternehmen,CDU
8,Unternehmen,SPD
10,Unternehmen,Linke
4,Unternehmen,Grüne
4,Unternehmen,FDP
30,Unternehmen,AfD
65,Schule,CDU
42,Schule,SPD
19,Schule,Linke
44,Schule,Grüne
18,Schule,FDP
30,Schule,AfD
48,Frau,CDU
16,Frau,SPD
14,Frau,Linke
14,Frau,Grüne
34,Frau,FDP
46,Frau,AfD
15,Bund,CDU
29,Bund,SPD
26,Bund,Linke
27,Bund,Grüne
23,Bund,FDP
